Entity,Year,Records,Organization type,Method,,,,,,,,,,,,
Adobe Systems Incorporated,2013,152000000,tech,hacked,,,,,,,,,,,,
"Affinity Health Plan, Inc.",2013,344579,healthcare,lost / stolen media,,,,,,,,,,,,
Central Hudson Gas & Electric,2013,110000,energy,hacked,,,,,,,,,,,,
Citigroup,2013,150000,financial,poor security,,,,,,,,,,,,
"Crescent Health Inc., Walgreens",2013,100000,healthcare,lost / stolen computer,,,,Year,(Multiple Items),,,,,,,
Drupal,2013,1000000,web,hacked,,,,,,,,,,,,
Dun & Bradstreet,2013,1000000,tech,hacked,,,,Sum of Records,Column Labels,,,,,,,
Evernote,2013,50000000,web,hacked,,,,,social media,,,,,,social media Total,Grand Total
Facebook,2013,6000000,social media,accidentally published,,,,Row Labels,500px,Facebook,Instagram,TikTok,YouTube,Zynga,,
Florida Department of Juvenile Justice,2013,100000,government,lost / stolen computer,,,,accidentally uploaded,,1500000,,,,,1500000,1500000
Kirkwood Community College,2013,125000,academic,hacked,,,,hacked,14870304,,,,,173000000,187870304,187870304
Kroll Background America,2013,1000000,tech,hacked,,,,poor security,,807000000,200000000,42000000,4000000,,1053000000,1053000000
Living Social,2013,50000000,web,hacked,,,,Grand Total,14870304,808500000,200000000,42000000,4000000,173000000,1242370304,1242370304
Nintendo (Club Nintendo),2013,240000,gaming,hacked,,,,,,,,,,,,
Scribd,2013,500000,web,hacked,,,,,,,,,,,,
SnapChat,2013,4700000,social media,hacked,,,,,,,,,,,,
South Africa police,2013,16000,government,hacked,,,,,,,,,,,,
Target Corporation,2013,110000000,retail,hacked,,,,,,,,,,,,
TerraCom & YourTel,2013,170000,telecoms,accidentally published,,,,,,,,,,,,
Tumblr,2013,65469298,web,hacked,,,,,,,,,,,,
Twitter,2013,250000,web,hacked,,,,,,,,,,,,
Ubuntu,2013,2000000,tech,hacked,,,,,,,,,,,,
Vodafone,2013,2000000,telecoms,inside job,,,,,,,,,,,,
Washington State court system,2013,160000,government,hacked,,,,,,,,,,,,
Yahoo,2013,3000000000,web,hacked,,,,,,,,,,,,
Yahoo Japan,2013,22000000,"tech, web",hacked,,,,,,,,,,,,
AOL,2014,2400000,web,hacked,,,,,,,,,,,,
Benesse,2014,35040000,educational services,hacked,,,,,,,,,,,,
Community Health Systems,2014,4500000,healthcare,hacked,,,,,,,,,,,,
Domino's Pizza (France),2014,600000,web,hacked,,,,,,,,,,,,
eBay,2014,145000000,web,hacked,,,,,,,,,,,,
Gmail,2014,5000000,web,hacked,,,,,,,,,,,,
Home Depot,2014,56000000,retail,hacked,,,,,,,,,,,,
JP Morgan Chase,2014,76000000,financial,hacked,,,,,,,,,,,,
Korea Credit Bureau,2014,20000000,financial,inside job,,,,,,,,,,,,
LexisNexis,2014,1000000,tech,hacked,,,,,,,,,,,,
MacRumors.com,2014,860000,web,hacked,,,,,,,,,,,,
Michaels,2014,3000000,retail,hacked,,,,,,,,,,,,
Mozilla,2014,76000,web,poor security,,,,,,,,,,,,
Neiman Marcus,2014,1100000,retail,hacked,,,,,,,,,,,,
New York Taxis,2014,52000,transport,poor security,,,,,,,,,,,,
Uber,2014,50000,tech,poor security,,,,,,,,,,,,
"University of Maryland, College Park",2014,300000,academic,hacked,,,,,,,,,,,,
Yahoo,2014,500000000,web,hacked,,,,,,,,,,,,
Anthem Inc.,2015,80000000,healthcare,hacked,,,,,,,,,,,,
Ashley Madison,2015,32000000,web,hacked,,,,,,,,,,,,
Bailey's Inc.,2015,250000,retail,hacked,,,,,,,,,,,,
CareFirst BlueCross Blue Shield - Maryland,2015,1100000,healthcare,hacked,,,,,,,,,,,,
Excellus BlueCross BlueShield,2015,10000000,healthcare,hacked,,,,,,,,,,,,
Experian - T-Mobile US,2015,15000000,telecoms,hacked,,,,,,,,,,,,
Internal Revenue Service,2015,720000,financial,hacked,,,,,,,,,,,,
Japan Pension Service,2015,1250000,special public corporation,hacked,,,,,,,,,,,,
Medical Informatics Engineering,2015,3900000,healthcare,hacked,,,,,,,,,,,,
Patreon,2015,2300000,web,hacked,,,,,,,,,,,,
Premera,2015,11000000,healthcare,hacked,,,,,,,,,,,,
"Sakai City, Japan",2015,680000,government,inside job,,,,,,,,,,,,
Scottrade,2015,4600000,financial,hacked,,,,,,,,,,,,
Slack,2015,500000,tech,poor security,,,,,,,,,,,,
"UCLA Medical Center, Santa Monica",2015,4500000,healthcare,hacked,,,,,,,,,,,,
